Known As,Full Name,Overall,Value(in Euro),Positions Played,Best Position,Nationality,Age,Club Name
López-Pinto,Javier López-Pinto Dorado,65,1600000,"LM,RM",RM,Spain,20,Burgos CF
M. Pinto,Miguel Pinto,65,80000,GK,GK,Chile,38,Unión Española
C. Nuñez,Claudio Nuñez,65,875000,"CB,RB",CB,Paraguay,26,Club Nacional
U. Jenssen,Ulrik Yttergård Jenssen,65,850000,CB,CDM,Norway,25,FC Nordsjælland
K. Schumacher,Kevin Schumacher,65,1100000,LM,LM,Germany,24,F.C. Hansa Rostock
Kim Jun Yub,Jun Yub Kim,65,250000,"RWB,RB",RWB,Korea Republic,34,Incheon United FC
M. Roman,Mihai Roman,65,700000,ST,ST,Romania,30,FC Botoşani
W. Vargas,Willian Vargas,65,925000,"RB,RM",RB,Ecuador,25,Independiente del Valle
L. Fiorini,Lewis Fiorini,65,1700000,CM,CAM,Scotland,20,Blackpool
J. López,Julián López,65,1600000,"CM,CDM,CAM",CAM,Argentina,22,Defensa y Justicia
Del Moral,Alberto del Moral Saelices,65,1500000,"CDM,CM",CDM,Spain,21,Villarreal Club de Fútbol B
P. Iliev,Plamen Iliev,65,475000,GK,GK,Bulgaria,30,Universitatea Cluj
Luis Paezinho,Luis Benjamin Paes Soares,65,675000,"CB,LB",CB,Brazil,26,Santos
P. Sisniega,Pablo Sisniega,65,775000,GK,GK,Mexico,26,Charlotte FC
C. Martínez,Carlos Julio Martínez,65,650000,"RB,LB",RB,Dominican Republic,28,Miedź Legnica
A. Barylla,Anthony Barylla,65,850000,"CB,RB,LB",CB,Germany,25,FC Erzgebirge Aue
J. Belshaw,James Belshaw,65,375000,GK,GK,England,31,Bristol Rovers
V. Rodríguez,Vicente Rodríguez,65,750000,"CM,CDM",CM,Venezuela,27,Caracas Fútbol Club
Choi Sung Geun,Sung Geun Choi,65,600000,"CDM,CM",CDM,Korea Republic,30,Suwon Samsung Bluewings
S. Al Muwallad,Saeed Al Muwallad,65,525000,RB,RB,Saudi Arabia,31,Ettifaq FC
Wilsson Rosito,Wilson Allan Rosan Dourado,65,775000,"CAM,LM",LM,Brazil,26,RB Bragantino
P. Golubović,Petar Golubović,65,700000,"RWB,CB",RWB,Serbia,27,Aalesunds FK
K. Sène,Kaly Sène,65,1800000,"ST,RM,RW",CAM,Senegal,21,FC Basel 1893
J. Mosquera,Juan David Mosquera,65,1500000,"RB,RM",RB,Colombia,19,Portland Timbers
T. Rieder,Tim Rieder,65,625000,"CDM,CB",CDM,Germany,28,TSV 1860 München
S. Coulibaly,Séga Coulibaly,65,925000,CB,CB,France,26,LA Galaxy
Ž. Zaletel,Žan Zaletel,65,1300000,CB,CB,Slovenia,22,Viborg FF
Y. Malede,Yonas Malede,65,1500000,"ST,LW",ST,Israel,22,KV Mechelen
N. Pijnaker,Nando Pijnaker,65,1300000,CB,CB,New Zealand,23,Sligo Rovers
J. García,John García,65,1600000,"LM,CAM,RM",CAM,Bolivia,22,Royal Pari
O. Bjørtuft,Odin Luraas Bjørtuft,65,1000000,CB,CB,Norway,23,Odds BK
J. Tillson,Jordan Tillson,65,600000,"CDM,CM,RM",CDM,England,29,Ross County FC
A. Souper,Andrés Souper,65,1600000,"CAM,CM",CAM,United States,23,CD Antofagasta
Tiago Ribeiro,Tiago Miguel Hora Ribeiro,65,1800000,CDM,CM,Portugal,20,Valencia CF
Maciel,Lucas Maciel Felix,65,1400000,"CDM,CM",CDM,Brazil,22,New England Revolution
A. Grimaldi,Adriano Grimaldi,65,600000,ST,ST,Germany,31,1. FC Saarbrücken
J. Marabel,Junior Marabel,65,1400000,ST,ST,Paraguay,24,Unión de Santa Fe
B. Nygren,Benjamin Nygren,65,1400000,"ST,RW",CAM,Sweden,20,FC Nordsjælland
R. Janssen,Roel Janssen,65,475000,CB,CB,Netherlands,32,Fortuna Sittard
João Mendes,João Sabino Mendes Neto Saraiva,65,750000,"CM,CAM",CM,Portugal,27,GD Chaves
L. Patris,Louis Patris,65,1500000,"CB,RB",CB,Belgium,21,Oud-Heverlee Leuven
T. Dzvukamanja,Terrence Dzvukamanja,65,725000,"ST,LW,RW",ST,Zimbabwe,28,Orlando Pirates
Yeo Reum,Reum Yeo,65,450000,CM,CM,Korea Republic,33,Incheon United FC
K. John,Kelechi John,65,975000,CB,CB,Nigeria,23,Central Coast Mariners
B. Güngördü,Bahadır Güngördü,65,725000,GK,GK,Turkey,26,MKE Ankaragücü
K. Melichenko,Kyrylo Melichenko,65,1100000,RB,RB,Ukraine,23,SG Dynamo Dresden
P. Lane,Paddy Lane,65,1600000,"CM,RW",CAM,Northern Ireland,21,Fleetwood Town
B. Wiredu,Brendan Wiredu,65,1100000,"CDM,CM",CDM,England,22,Fleetwood Town
L. Jäger,Lukas Jäger,65,625000,"CDM,RB",CDM,Austria,28,SC Rheindorf Altach
Marcelo Lopes,Marcelo André Veiga Lopes,65,725000,"RM,CF,LM",RM,Cape Verde Islands,28,FC Voluntari
G. Nazareno,Geovanny Nazareno,65,250000,"LB,LM,LWB",LB,Ecuador,34,9 de Octubre
H. Al Qahtani,Hussain Al Qahtani,65,750000,"CM,CDM",CM,Saudi Arabia,27,Al Shabab
Edu Selneira,Eduardo Estevão Selneira Moura,65,240000,"CDM,RB",CDM,Brazil,34,América Futebol Clube
J. Krahl,Julian Krahl,65,1400000,GK,GK,Germany,22,1. FC Kaiserslautern
Chi Zhongguo,Zhongguo Chi,65,550000,"CM,CDM",CM,China PR,32,Beijing Guoan FC
B. Sørmo,Bent Sørmo,65,875000,"RB,CB,LB",RWB,Norway,25,SV Zulte Waregem
N. Gagnidze,Nika Gagnidze,65,1600000,"CM,CDM,RM",CM,Georgia,21,Ümraniyespor
R. Arace,Rafael Arace,65,825000,"ST,LM,RM",ST,Venezuela,27,Deportivo Táchira FC
A. Benga,Alexandru Benga,65,350000,CB,CB,Romania,33,AFC UTA Arad
B. Yıldız,Berk Yıldız,65,850000,"LW,LM",ST,Turkey,26,Adana Demirspor
M. Berden,Martijn Berden,65,975000,RM,RM,Netherlands,24,Go Ahead Eagles
T. Escalante,Tomás Escalante,65,1100000,CM,CAM,Argentina,22,Defensa y Justicia
S. Jacob,Sebastian Jacob,65,725000,"ST,CAM",ST,Germany,29,1. FC Saarbrücken
D. Stec,David Stec,65,650000,RB,RB,Austria,28,Lechia Gdańsk
H. Mahou,Hicham Mahou,65,1500000,"RM,ST,RWB",RM,France,22,FC Lugano
R. Bushiri,Rocky Bushiri,65,1000000,CB,CB,Belgium,22,Hibernian
L. Vallier,Lenny Vallier,65,1600000,"LM,LB",LM,France,23,Chamois Niortais Football Club
Liu Yun,Yun Liu,65,750000,"RM,LM,RW",RM,China PR,27,Wuhan FC
S. Sohm,Simon Sohm,65,1500000,"CDM,CM",CDM,Switzerland,21,Parma
Y. Wildschut,Yanic Wildschut,65,700000,LW,ST,Suriname,30,Oxford United
S. Ojeda,Sergio Ojeda,65,575000,CB,CB,Argentina,30,Patronato
A. Evans,Antony Evans,65,1100000,"CM,CAM",RM,England,23,Bristol Rovers
D. Andrew,Danny Andrew,65,525000,"LB,LWB,CB",LB,England,31,Fleetwood Town
Miguel Puche,Miguel Puche García,65,1600000,"LM,RM",CAM,Spain,21,Real Zaragoza
Mi Haolun,Haolun Mi,65,625000,"LB,LWB",LB,China PR,29,Shenzhen FC
K. Dembélé,Karamoko Dembélé,65,1700000,RW,RW,England,19,Stade Brestois 29
L. Buades,Lucas Buades,65,900000,"RWB,RM",RM,France,24,Rodez Aveyron Football
Arribas,Óscar Arribas Pasero,65,1400000,"LM,RM,ST",RM,Spain,23,FC Cartagena
N. Ouammou,Nassim Ouammou,65,625000,"LWB,LM,LW",LWB,France,29,Rodez Aveyron Football
S. Thórdarson,Stefán Teitur Thórdarson,65,1600000,CM,CM,Iceland,23,Silkeborg IF
R. Oates,Rhys Oates,65,825000,ST,ST,England,27,Mansfield Town
C. Lewis,Clayton Lewis,65,950000,"CM,CDM",LM,New Zealand,25,Wellington Phoenix
Peter,Peter González Carmona,65,1700000,"RW,LW,RB",LM,Spain,19,Real Madrid CF
M. Fraser,Marcus Fraser,65,625000,"CB,RWB",RB,Scotland,28,St. Mirren
A. Šušnjar,Aleksandar Šušnjar,65,675000,CB,CB,Australia,26,Macarthur FC
L. Montoya,Lautaro Montoya,65,700000,"LB,LM",LB,Argentina,27,Club Atlético Central Córdoba
E. Banda,Emmanuel Banda,65,1100000,"CAM,CM",CAM,Zambia,24,Djurgårdens IF
J. Blázquez,Joaquín Blázquez,65,1500000,GK,GK,Argentina,21,Stade Brestois 29
A. Appiah,Arvin Appiah,65,1800000,"RM,LM,RW",LW,England,21,CD Tenerife
A. Kashi,Ahmed Kashi,65,350000,"CDM,CM",CDM,Algeria,33,FC Annecy
D. Juárez,Daniel Eduardo Juárez,65,1600000,"RM,RW,LM",ST,Argentina,20,Unión de Santa Fe
M. Lotka,Marcel Lotka,65,1400000,GK,GK,Poland,21,Borussia Dortmund
B. Pawłowski,Bartłomiej Pawłowski,65,725000,"ST,CAM,CF",RW,Poland,29,Widzew Łódź
T. Børkeeiet,Tobias Børkeeiet,65,1300000,"CDM,CB",CDM,Norway,23,Rosenborg BK
L. Davis,Leif Davis,65,1500000,"LWB,LB",LWB,England,22,Ipswich Town
W. Mikelbrencis,William Mikelbrencis,65,1600000,"RB,RWB",RB,France,18,Hamburger SV
F. Proia,Federico Proia,65,925000,"CM,CAM",RM,Italy,26,SPAL
T. Noslin,Tijjani Noslin,65,1100000,RM,RM,Netherlands,22,Fortuna Sittard
M. Karamoko,Mamoudou Karamoko,65,1500000,ST,ST,France,22,F.C. København
L. Gutiérrez,Luis Gutiérrez,65,130000,"CB,LB",CB,Bolivia,37,Royal Pari
F. Haugen,Fredrik Haugen,65,675000,CM,CAM,Norway,30,Aalesunds FK
D. Quilumba,Darwin Quilumba,65,350000,CB,CB,Ecuador,33,Mushuc Runa
S. O'Donnell,Stephen O'Donnell,65,625000,RB,RB,Scotland,30,Motherwell
K. Dimitrov,Kristian Dimitrov,65,1000000,CB,CB,Bulgaria,25,Hajduk Split
C. Washington,Conor Washington,65,700000,ST,ST,Northern Ireland,30,Rotherham United
A. Maglica,Anton Maglica,65,700000,ST,ST,Croatia,30,APOEL Nicosia FC
K. Sildillia,Kiliann Sildillia,65,1500000,"CB,RB",CB,France,20,Sport-Club Freiburg
P. Szappanos,Péter Szappanos,65,0,GK,GK,Hungary,31,Free agent
M. Antonsson,Marcus Antonsson,65,600000,ST,ST,Sweden,31,IFK Värnamo
N. Stevanović,Nikola Stevanović,65,1300000,CB,CB,Serbia,23,FC Ingolstadt 04
B. Tashchy,Borys Tashchy,65,725000,"ST,CAM",ST,Ukraine,28,FC Erzgebirge Aue
B. Bolla,Bendegúz Bolla,65,1500000,RWB,RWB,Hungary,22,Grasshopper Club Zürich
A. Sabella,Alexis Sabella,65,1600000,"CM,LM",CAM,Argentina,21,Platense
Rafael Pereira,Rafael António Pereira,65,1500000,CB,CB,Brazil,22,Al Ain FC
P. Tomasik,Piotr Tomasik,65,250000,LB,LB,Poland,34,Wisła Płock
F. Gil,Faber Gil,65,775000,"ST,RW",ST,Colombia,27,La Equidad
P. Olsen,Patrick Olsen,65,725000,"CM,CDM",CM,Denmark,28,Śląsk Wrocław
S. Vulikić,Stipe Vulikić,65,1300000,CB,CB,Croatia,21,Perugia
O. Atasayar,Onur Atasayar,65,750000,"LB,LM",LB,Turkey,27,Ümraniyespor
J. Stevens,Jack Stevens,65,800000,GK,GK,England,24,Port Vale
T. Dieng,Timothée Dieng,65,675000,CM,CB,France,30,Exeter City
M. Gouras,Minos Gouras,65,1100000,"LM,LW,ST",LM,Germany,24,SSV Jahn Regensburg
D. Köhn,Derrick Köhn,65,1500000,LB,LWB,Germany,23,Hannover 96
R. Tunnicliffe,Ryan Tunnicliffe,65,700000,CM,CDM,England,29,Portsmouth
D. Cleonise,Denilho Cleonise,65,1600000,"RW,LW",RM,Netherlands,20,FC Twente
Y. Letard,Yannis Letard,65,1000000,CB,CB,France,23,LASK Linz
K. Ford,Kortne Ford,65,925000,"CB,RB",CB,United States,26,Sporting Kansas City
Ekain,Ekain Zenitagoia Arana,65,725000,"CAM,CM,ST",CF,Spain,28,UD Ibiza
A. Redmayne,Andrew Redmayne,65,230000,GK,GK,Australia,33,Sydney FC
Y. Demoncy,Yohan Demoncy,65,925000,"CM,CDM",CM,France,26,Paris FC
B. Barcola,Bradley Barcola,65,1700000,"LW,ST",ST,France,19,Olympique Lyonnais
E. Mero,Edison Mero,65,1100000,"RM,LM",RM,Ecuador,23,Delfín Sporting Club
D. Chima Chukwu,Daniel Chima Chukwu,65,600000,ST,ST,Nigeria,31,Jamshedpur FC
Delgado,Carlos Javier Delgado Rodríguez,65,475000,CB,CB,Spain,32,Odisha FC
E. Harrison,Ellis Harrison,65,725000,ST,ST,Wales,28,Port Vale
A. Coly,Aliou Coly,65,600000,CB,CB,Senegal,29,Kristiansund BK
N. Madsen,Nicolas Madsen,65,1400000,"CDM,CM",CDM,Denmark,22,KVC Westerlo
C. Evans,Corry Evans,65,500000,"CDM,CM",CDM,Northern Ireland,31,Sunderland
L. Montsma,Lewis Montsma,65,975000,CB,CB,Netherlands,24,Lincoln City
S. Mthethwa,Sandile Mthethwa,65,900000,CB,CB,South Africa,25,Orlando Pirates
S. Schreck,Sam Schreck,65,1100000,"CM,CDM",CM,Germany,23,FC Erzgebirge Aue
D. Štefulj,Daniel Štefulj,65,1500000,"LB,LWB,LM",LB,Croatia,22,Dinamo Zagreb
A. Dursun,Abdurrahim Dursun,65,1500000,LB,LB,Turkey,23,Adana Demirspor
A. Tripaldelli,Alessandro Tripaldelli,65,1400000,"LB,LM",LB,Italy,23,SPAL
E. Alfonso,Ezequiel Alfonso,65,1600000,RM,RM,Paraguay,22,General Caballero (JLM)
P. Kovář,Přemysl Kovář,65,80000,GK,GK,Czech Republic,36,SK Slavia Praha
M. Kaput,Michał Kaput,65,875000,CDM,CDM,Poland,24,Piast Gliwice
Zeca,Jose Joaquim de Carvalho,65,950000,ST,ST,Brazil,25,Daegu FC
B. Wilson,Ben Wilson,65,500000,GK,GK,England,29,Coventry City
A. Powell,Alvas Powell,65,700000,"RB,RWB",RB,Jamaica,27,FC Cincinnati
F. Kurto,Filip Kurto,65,375000,GK,GK,Poland,31,Macarthur FC
S. Juma,Saeed Juma,65,1100000,"RB,CB",RB,United Arab Emirates,23,Al Ain FC
J. Wießmeier,Julian Wießmeier,65,625000,"RWB,RB,RM",RWB,Germany,29,SV Ried
F. Bonifazi,Facundo Bonifazi,65,775000,LB,LB,Uruguay,26,Club Atlético Peñarol
J. Lund,Julian Faye Lund,65,1200000,GK,GK,Norway,23,FK Bodø/Glimt
K. Jakob,Kilian Jakob,65,1000000,"LB,LM",LB,Germany,24,Karlsruher SC
B. Galván,Braian Galván,65,1600000,"LM,LWB,RM",LM,Argentina,21,Colorado Rapids
C. Núñez,Cristian Núñez,65,1300000,"CDM,CM",CDM,Paraguay,24,Club Sol de América
M. Alonso,Máximo Alonso,65,1700000,LM,RM,Uruguay,19,Club Atlético Peñarol
C. Machado,Cristhian Machado,65,475000,"CDM,CM",CDM,Bolivia,32,Club Deportivo Jorge Wilstermann
J. Moutachy,Joris Moutachy,65,1000000,"RB,RWB",RB,France,24,Chamois Niortais Football Club
A. Aravena,Alexander Aravena,65,1700000,"ST,RW",ST,Chile,19,Deportivo Ñublense
M. Ødegaard,Magnar Ødegaard,65,600000,"CB,RWB",CB,Norway,29,Sarpsborg 08 FF
Jeong Hyun Cheol,Hyun Cheol Jeong,65,600000,"CDM,CB,CM",CDM,Korea Republic,29,FC Seoul
A. Al Obaid,Abdulrahman Al Obaid,65,625000,LB,LB,Saudi Arabia,29,Ettifaq FC
Sun Jie,Jie Sun,65,575000,CB,CB,China PR,30,Changchun Yatai FC
J. Felix,Joel Felix,65,975000,CB,CB,Denmark,24,Silkeborg IF
A. Fisher,Andy Fisher,65,1400000,GK,GK,England,24,Swansea City
O. Salomón,Oscar Salomón,65,1500000,CB,CB,Argentina,23,Club Atlético Tigre
J. Brown,Javain Brown,65,975000,"CB,RM,RB",CB,Jamaica,23,Vancouver Whitecaps FC
E. Haugan,Eirik Haugan,65,825000,CB,CB,Norway,24,Molde FK
M. Bolly,Mathis Bolly,65,600000,"LM,RM",RW,Côte d'Ivoire,31,Molde FK
M. de Gevigney,Maël de Gevigney,65,1300000,CB,CB,France,22,Nîmes Olympique
J. Indacoechea,Joaquín Indacoechea,65,1500000,"RB,CM",CM,Argentina,21,Club Atlético Aldosivi
S. Mkhulise,Sphelele Mkhulise,65,925000,CAM,CAM,South Africa,26,Mamelodi Sundowns FC
José Marsà,José Martínez Marsà,65,1600000,CB,CB,Spain,20,Sporting CP
S. Clare,Sean Clare,65,900000,"CB,RB",RM,England,25,Charlton Athletic
S. Gnaka,Silas Gnaka,65,1400000,"LB,RB,CB",LB,Côte d'Ivoire,23,1. FC Magdeburg
A. Al Joui,Abdullah Al Joui,65,750000,"LM,RM",LM,Saudi Arabia,27,Al Tai
J. Kitolano,Joshua Kitolano,65,1600000,CM,CAM,Norway,20,Sparta Rotterdam
L. Ravanelli,Luca Ravanelli,65,950000,CB,CB,Italy,25,Frosinone
J. Mendieta,Jesús Mendieta,65,950000,"LB,CB",LB,Peru,24,Ayacucho
V. Ticu,Valentin Ticu,65,1500000,"LWB,LM,CB",LWB,Romania,21,Petrolul Ploiești
A. Teikeu,Adolphe Teikeu,65,475000,CB,CB,Cameroon,32,Stade Malherbe Caen
R. Caroca,Rafael Caroca,65,475000,"CDM,CM,CB",CDM,Chile,32,Deportivo Ñublense
E. Salles,Esteban Salles,65,650000,GK,GK,France,28,Grenoble Foot 38
L. Boeder,Lukas Boeder,65,900000,"CB,RB",CB,Germany,25,1. FC Saarbrücken
C. Pastina,Christian Pastina,65,1500000,CB,CB,Italy,21,Benevento
B. Cuello,Brahian Cuello,65,1100000,"RM,LM,CM",RM,Argentina,24,Defensa y Justicia
Gao Lin,Lin Gao,65,240000,"ST,LW",ST,China PR,36,Shenzhen FC
M. Peano,Marcos Peano,65,925000,GK,GK,Argentina,23,Defensa y Justicia
M. Diarra,Moussa Diarra,65,1700000,"CB,LB,CM",LB,France,21,Toulouse Football Club
J. Griffiths,Josh Griffiths,65,1500000,GK,GK,England,20,Portsmouth
S. Mielitz,Sebastian Mielitz,65,350000,GK,GK,Germany,32,VfB Oldenburg
I. Jansson,Isak Jansson,65,1700000,"ST,CAM",CAM,Sweden,20,FC Cartagena
N. Mujakić,Nihad Mujakić,65,975000,CB,CB,Bosnia and Herzegovina,24,MKE Ankaragücü
D. Popa,Daniel Popa,65,850000,ST,ST,Romania,26,AFC Chindia Târgoviște
M. Jay,Matt Jay,65,850000,CAM,RM,England,26,Exeter City
F. Cann,Francis Cann,65,975000,LW,LM,Ghana,24,FC Vizela
C. Dieng,Cheikhou Dieng,65,725000,"LM,ST",RW,Senegal,28,Zagłębie Lubin
L. Marseiler,Luca Marseiler,65,950000,"LM,RM,ST",RM,Germany,25,Viktoria Köln
T. Fornah,Tyrese Fornah,65,1400000,"CDM,CM",CDM,England,22,Reading
J. Łukowski,Jakub Łukowski,65,850000,"RM,ST",RM,Poland,26,Korona Kielce
A. Jung,Andrew Jung,65,1100000,ST,ST,France,24,US Quevilly Rouen Métropole
L. Maloney,Lennard Maloney,65,1300000,CB,CB,Germany,22,1. FC Heidenheim 1846
I. Lomami,Irvyn Lomami,65,1600000,RB,RB,France,18,Olympique Lyonnais
N. Leyes,Nery Leyes,65,475000,"CDM,CM",CDM,Argentina,32,Gimnasia y Esgrima La Plata
B. Stevenson,Ben Stevenson,65,900000,CM,CM,England,25,Forest Green Rovers
J. Geria,Jason Geria,65,625000,"RB,CB",RB,Australia,29,Melbourne Victory
A. Cuadra,Adrián Cuadra,65,1500000,"CDM,CM",CDM,Chile,24,CD Antofagasta
A. Morley,Aaron Morley,65,1600000,CM,CM,England,22,Bolton Wanderers
T. Kraulich,Tobias Kraulich,65,1000000,CB,CB,Germany,23,SV Meppen
Raúl Navarro,Raúl Navarro del Río,65,650000,"RB,RWB,RM",RB,Spain,28,Burgos CF
K. Abazaj,Kristal Abazaj,65,850000,"RW,LW,ST",RW,Albania,25,İstanbulspor
T. Mahrer,Thorsten Mahrer,65,475000,CB,CB,Austria,32,SK Austria Klagenfurt
Z. Diallo,Zakaria Diallo,65,190000,CB,CB,France,35,Le Havre AC
M. Saleng,Monnapule Saleng,65,1100000,"LW,RW,ST",ST,South Africa,24,Orlando Pirates
M. Araz,Musa Araz,65,725000,CM,CAM,Switzerland,28,FC Sion
J. Cuesta,Juan Manuel Cuesta,65,1700000,"LW,ST",RM,Colombia,20,Club Atlético Aldosivi
J. Alarcón,Jostin Alarcón,65,1500000,"LW,LM,CM",LM,Peru,19,Sport Boys
D. Bingham,David Bingham,65,350000,GK,GK,United States,32,Portland Timbers
J. Walker,Jamie Walker,65,700000,"CAM,LM",RM,Scotland,29,Bradford City
A. Collins,Aaron Collins,65,900000,"ST,LW",ST,Wales,25,Bristol Rovers
A. Bjelland,Andreas Bjelland,65,350000,CB,CB,Denmark,33,Lyngby BK
J. Bonde,Jakob Bonde,65,725000,"CM,CDM",CM,Denmark,28,Viborg FF
A. Ișfan,Alexandru Ișfan,65,1600000,"RW,CAM,ST",LW,Romania,22,Campionii FC Arges
M. Fernández,Matías Fernández,65,775000,"RM,RWB",RM,Chile,26,Independiente del Valle
M. Röhl,Merlin Röhl,65,1700000,"CM,CAM,RM",RM,Germany,19,Sport-Club Freiburg
N. Chamed,Nasser Chamed,65,725000,"CAM,RM",RM,Comoros,28,AFC Chindia Târgoviște
L. Bünning,Lars Bünning,65,1000000,"CB,LB",CB,Germany,24,1. FC Kaiserslautern
E. Zavaleta,Eriq Zavaleta,65,600000,CB,CB,El Salvador,29,LA Galaxy
M. Watai,Masaki Watai,65,1600000,"CAM,RM,CF",RM,Japan,22,Boavista FC
D. Tchamba,Duplexe Tchamba,65,1000000,CB,CB,Cameroon,23,Casa Pia
B. Zimmermann,Bernhard Zimmermann,65,1600000,"ST,CAM",ST,Austria,20,SK Rapid Wien
T. Cardozo,Thiago Cardozo,65,775000,GK,GK,Uruguay,25,Club Atlético Peñarol
A. MacDonald,Angus MacDonald,65,600000,CB,CB,England,29,Swindon Town
A. Kampetsis,Argyris Kampetsis,65,1100000,"LW,ST",ST,Greece,23,Panathinaikos FC
J. Siebert,Jamil Siebert,65,1500000,CB,CB,Germany,20,Viktoria Köln
A. Ejupi,Albert Ejupi,65,600000,"CDM,CM",CDM,Sweden,29,TSV Egger Glas Hartberg
J. Fitzwater,Jack Fitzwater,65,975000,CB,CB,England,24,Livingston FC
T. Eisfeld,Thomas Eisfeld,65,700000,"CAM,CM",CAM,Germany,29,Rot-Weiß Essen
S. Mrowca,Sebastian Mrowca,65,650000,"RB,CB",RB,Poland,28,SV Wehen Wiesbaden
B. Thomas-Asante,Brandon Thomas-Asante,65,1100000,"RW,ST",ST,England,23,West Bromwich Albion
M. Maciel,Milton Maciel,65,1600000,"LM,CM",LM,Paraguay,22,Guaireña FC
T. Oberdorf,Tim Oberdorf,65,850000,CB,CB,Germany,25,Fortuna Düsseldorf
A. Nassir,Abubeker Nassir,65,1600000,"LW,ST",LW,Ethiopia,22,Mamelodi Sundowns FC
M. Tounkara,Mamadou Tounkara,65,900000,ST,ST,Senegal,26,Cittadella
R. Lindkvist,Rasmus Lindkvist,65,500000,"LWB,LB,CB",LWB,Sweden,32,GIF Sundsvall
A. Phillips,Adam Phillips,65,975000,CM,CAM,England,24,Barnsley
J. Deom,Jérôme Deom,65,1100000,"CM,CAM",CAM,Belgium,23,KAS Eupen
H. Clarke,Harry Clarke,65,1500000,"CB,RB,RWB",CB,England,21,Stoke City
L. Thompson,Louis Thompson,65,825000,"CM,CDM",CDM,Wales,27,Portsmouth
J. Guillemenot,Jérémy Guillemenot,65,1100000,"ST,LW",RM,Switzerland,24,FC St. Gallen 1879
N. Gunnarsson,Niklas Gunnarsson,65,500000,CB,CB,Norway,31,Strømsgodset IF
A. Galeano,Antonio Galeano,65,1600000,"RM,LM,RB",RM,Paraguay,22,Club Cerro Porteño
A. O'Brien,Aiden O'Brien,65,725000,"ST,LM",RW,Republic of Ireland,28,Shrewsbury Town
M. Greve,Mathias Greve,65,750000,CM,RM,Denmark,27,Brøndby IF
J. Riedel,Julian Riedel,65,575000,"CB,RB",CB,Germany,30,SV Waldhof Mannheim 07
J. Cazares,José Luis Cazares,65,500000,"CDM,CM",CB,Ecuador,31,9 de Octubre
T. Ndenge,Tsiy-William Ndenge,65,1000000,"CDM,CM",CDM,Cameroon,25,Grasshopper Club Zürich
A. Obando,Agustín Obando,65,1600000,LM,LM,Argentina,22,Club Atlético Tigre
W. Bøving,William Bøving,65,1700000,"LM,LW,ST",CAM,Denmark,19,SK Sturm Graz
B. Popovic,Boris Popovic,65,1300000,CB,CB,Serbia,22,KSV Cercle Brugge
J. Mwanga,Junior Mwanga,65,1600000,CB,CB,France,19,FC Girondins de Bordeaux
Piao Cheng,Cheng Piao,65,550000,CM,CM,China PR,32,Beijing Guoan FC
F. Lauenborg,Frederik Lauenborg,65,950000,CM,CDM,Denmark,25,Randers FC
Miguel Morro,Miguel Ángel Morro Muñoz,65,1500000,GK,GK,Spain,21,Rayo Vallecano
E. Holm,Emil Holm,65,1500000,"RWB,RB,RM",RWB,Sweden,22,Spezia
B. Miovski,Bojan Miovski,65,1600000,ST,ST,North Macedonia,23,Aberdeen
B. Bouanani,Badredine Bouanani,65,1600000,"RM,CAM,CF",CAM,France,17,OGC Nice
Y. Al Shehri,Yahia Al Shehri,65,575000,"RW,LW,CAM",CAM,Saudi Arabia,32,Al Raed
E. Hamilton,Ethan Hamilton,65,1100000,CM,CM,Scotland,23,Accrington Stanley
A. Karimi,Ali Karimi,65,625000,"CDM,CM",CDM,Iran,28,Yukatel Kayserispor
S. Pittman,Scott Pittman,65,700000,"CM,RW,CF",RM,Scotland,29,Livingston FC
J. Barco,Jesús Barco,65,1000000,"CM,CDM",CDM,Peru,25,Sport Boys
G. Pérez,Gonzalo Pérez,65,1500000,"CB,CDM",CB,Uruguay,21,Liverpool Fútbol Club
İ. Parlak,İlhan Parlak,65,300000,"ST,LM",ST,Turkey,35,Yukatel Kayserispor
M. Peralta Bauer,Mariano Peralta Bauer,65,1100000,"ST,RW",ST,Argentina,24,Unión de Santa Fe
I. Boonen,Indy Boonen,65,1100000,"CAM,RW,ST",CAM,Belgium,23,KV Oostende
Sebas Moyano,Sebastián Moyano Jimenez,65,950000,"LM,RM,ST",RM,Spain,25,CD Lugo
A. D'Alberto,Anthony D'Alberto,65,750000,"RWB,RB",RWB,Belgium,27,Aarhus GF
K. Sadlier,Kieran Sadlier,65,700000,RWB,RW,Republic of Ireland,27,Bolton Wanderers
M. Duarte,Manuel Duarte,65,1600000,"RM,CAM",RM,Argentina,20,Defensa y Justicia
S. Conteh,Sirlord Conteh,65,850000,"RM,ST",RM,Germany,25,SC Paderborn 07
V. Ozornwafor,Valentine Ozornwafor,65,1500000,CB,CB,Nigeria,23,FC Sochaux-Montbéliard
G. Cîmpanu,George Cîmpanu,65,1600000,"RM,CAM",LM,Romania,21,Universitatea Craiova
Vinícius Tobías,Vinícius Tobías da Silva,65,1700000,"RB,RM",RB,Brazil,18,Real Madrid CF
J. Iritier,Javier Iritier,65,750000,"LW,RM,LM",LW,Argentina,27,Club Atlético Aldosivi
R. Cooney,Ryan Cooney,65,1000000,RB,RWB,England,22,Morecambe
L. Ovalle,Luis Carlos Ovalle,65,375000,"LB,LWB",LB,Panama,33,Deportivo La Guaira FC
